city,days,lat,lon
"Cedar Park, TX",81,30.50662,-97.830317
"Austin, TX",16,30.2711286,-97.7436995
"College Station, TX",104,30.6262616,-96.3347249
"Houston, TX",6,29.7589382,-95.3676974
"Fort Worth, TX",1,32.753177,-97.3327459
"Boulder, CO",3,40.0149856,-105.2705456
"Buena Vista, CO",1,38.829332,-106.139515
"Colorado Springs, CO",3,38.8339578,-104.8253485
"Corpus Christi, TX",3,27.8002542,-97.3955744
"San Francisco, CA",1,37.7792768,-122.4192704
"Lynge, DK",2,55.839722,12.273056
"Moen, DK",1,54.964167,12.552222
"Millinge, DK",2,55.134444,10.200833
"Hven, SE",1,55.905833,12.695
"Copenhagen, DK",2,55.676111,12.568333
"Hundested, DK",1,55.966667,11.85
"Frederiksberg, DK",1,55.666667,12.533333
"Lyngby, DK",1,55.775,12.501944
"Lampasas, TX",2,31.065833,-98.183333
