city,days,lat,lon
"College Station, TX",104,30.6262616,-96.3347249
"Cedar Park, TX",81,30.50662,-97.830317
"Austin, TX",16,30.2711286,-97.7436995
"Houston, TX",6,29.7589382,-95.3676974
"Boulder, CO",3,40.0149856,-105.2705456
"Colorado Springs, CO",3,38.8339578,-104.8253485
"Corpus Christi, TX",3,27.8002542,-97.3955744
"Lynge, DK",2,55.839722,12.273056
"Millinge, DK",2,55.134444,10.200833
"Copenhagen, DK",2,55.676111,12.568333
"Lampasas, TX",2,31.065833,-98.183333
"Fort Worth, TX",1,32.753177,-97.3327459
"Buena Vista, CO",1,38.829332,-106.139515
"San Francisco, CA",1,37.7792768,-122.4192704
"Moen, DK",1,54.964167,12.552222
"Hven, SE",1,55.905833,12.695
"Hundested, DK",1,55.966667,11.85
"Frederiksberg, DK",1,55.666667,12.533333
"Lyngby, DK",1,55.775,12.501944
